127.0.0.1 - - [04/Jun/2017:12:45:39 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:45:41 +0530] "GET /collobrationFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:45:43 +0530] "GET /collobrationFE/js/app.js HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:45:43 +0530] "GET /collobrationFE/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:45:43 +0530] "GET /collobrationFE/controllers/Chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:45:43 +0530] "GET /collobrationFE/controllers/friendcontroller.js HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:45:43 +0530] "GET /collobrationFE/service/userservice.js HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:45:43 +0530] "GET /collobrationFE/service/Chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:45:43 +0530] "GET /collobrationFE/service/friendservice.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:45:44 +0530] "GET /collobrationFE/common/header.html HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:45:44 +0530] "GET /collobrationFE/common/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:47:02 +0530] "GET /collobrationFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:47:02 +0530] "GET /collobrationFE/controllers/Chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:47:02 +0530] "GET /collobrationFE/js/app.js HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:47:02 +0530] "GET /collobrationFE/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:47:02 +0530] "GET /collobrationFE/service/userservice.js HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:47:02 +0530] "GET /collobrationFE/service/Chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:47:02 +0530] "GET /collobrationFE/controllers/friendcontroller.js HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:47:02 +0530] "GET /collobrationFE/service/friendservice.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:47:03 +0530] "GET /collobrationFE/common/header.html HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:47:03 +0530] "GET /collobrationFE/common/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:47:04 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:47:20 +0530] "POST /collobrationRS/login HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:49:19 +0530] "GET /collobrationFE/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:49:20 +0530] "GET /collobrationFE/common/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:49:34 +0530] "POST /collobrationRS/login HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:49:41 +0530] "GET /collobrationFE/ HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:49:41 +0530] "GET /collobrationFE/js/app.js HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:49:41 +0530] "GET /collobrationFE/lib/angularjs/sockjs.js HTTP/1.1" 200 79613
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:49:41 +0530] "GET /collobrationFE/controllers/usercontroller.js HTTP/1.1" 200 5202
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:49:41 +0530] "GET /collobrationFE/lib/angularjs/angular.js HTTP/1.1" 200 1187559
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:49:41 +0530] "GET /collobrationFE/lib/angularjs/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:49:41 +0530] "GET /collobrationFE/lib/angularjs/angular-route.js HTTP/1.1" 200 38847
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:49:41 +0530] "GET /collobrationFE/controllers/Chatcontroller.js HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:49:41 +0530] "GET /collobrationFE/controllers/friendcontroller.js HTTP/1.1" 200 1663
